latitude_dd,longitude_dd,latitude,longitude,eventName,hwmTypeName,hwmQualityName,verticalDatumName,verticalMethodName,approvalMember,markerName,horizontalMethodName,horizontalDatumName,flagMemberName,surveyMemberName,site_no,siteDescription,sitePriorityName,networkNames,stateName,countyName,siteZone,sitePermHousing,site_latitude,site_longitude,hwm_id,waterbody,site_id,event_id,hwm_type_id,hwm_quality_id,hwm_locationdescription,survey_date,elev_ft,vdatum_id,vcollect_method_id,bank,approval_id,marker_id,height_above_gnd,hcollect_method_id,peak_summary_id,hwm_notes,hwm_environment,flag_date,stillwater,hdatum_id,flag_member_id,survey_member_id,uncertainty,hwm_uncertainty,hwm_label,last_updated,last_updated_by,horizontal_datums,vertical_collect_methods,horizontal_collect_methods,hwm_types,hwm_qualities,event,peak_summary,survey_member,marker,approval,files,site,vertical_datums,flag_member,Links
27.7844,-97.10065,27.7844,-97.10065,Harvey Aug 2017,Debris,Good: +/- 0.10 ft,NAVD88,RT-GNSS,Glenn Harwell,Marker,Handheld GPS,NAD83,Kristine Blickenstaff,Dan Kobzar,TXNUE20580,Chain link fence to generator station on south side of Highway 361,,,TX,Nueces County,,No,27.78449,-97.10062,20758,Gulf of Mexico,20580,180,2,2,lat 27.78440 long -97.10065 on southwest corner of chain link fence near generator,9/3/2017 5:00:00 AM,9.754,2,6,N/A,7664,4,4.33,1,5181,Elevation is final. No further adjustments necessary.,Coastal,9/2/2017 5:00:00 AM,1,2,1760,1744,0.24,0.1,0902_1445_2,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
27.70062,-97.15755,27.70062,-97.15755,Harvey Aug 2017,Debris,Good: +/- 0.10 ft,NAVD88,RT-GNSS,Glenn Harwell,Marker,Handheld GPS,NAD83,Kurt Kraske,Dan Kobzar,TXNUE20581,Port Aransas Mustang Island water storage facility on Hwy 361,,,TX,Nueces County,,No,27.70062,-97.15755,20759,Gulf of Mexico,20581,180,2,2,"Water storage facility, chain-link fence, near main gate and driveway on south side of Hwy361.",9/3/2017 5:00:00 AM,9.27,2,6,N/A,7808,4,2.92,1,5255,"Elevation is final, no future adjustments necessary. Used AH1675 as base.",Coastal,9/2/2017 5:00:00 AM,1,2,1763,1744,0.24,,0902_1600_1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
27.70037,-97.15777,27.70037,-97.15777,Harvey Aug 2017,Debris,Good: +/- 0.10 ft,NAVD88,RT-GNSS,Glenn Harwell,Marker,Handheld GPS,NAD83,Kurt Kraske,Dan Kobzar,TXNUE20581,Port Aransas Mustang Island water storage facility on Hwy 361,,,TX,Nueces County,,No,27.70062,-97.15755,20760,Gulf of Mexico,20581,180,2,2,"Water storage facility, chain-link fence, SW corner.",9/3/2017 5:00:00 AM,9.298,2,6,N/A,7809,4,3.29,1,5255,"Elevation is final, no future adjustments necessary. Used AH1675 as base.",Coastal,9/2/2017 5:00:00 AM,1,2,1763,1744,0.24,,0902_1600_2,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
27.7003,-97.15771,27.7003,-97.15771,Harvey Aug 2017,Debris,Good: +/- 0.10 ft,NAVD88,RT-GNSS,Glenn Harwell,Marker,Handheld GPS,NAD83,Kurt Kraske,Dan Kobzar,TXNUE20581,Port Aransas Mustang Island water storage facility on Hwy 361,,,TX,Nueces County,,No,27.70062,-97.15755,20761,Gulf of Mexico,20581,180,2,2,"Water storage facility, chain-link fence, 30 ft east of HWM2 on same chain-link fence.",9/3/2017 5:00:00 AM,8.988,2,6,N/A,7810,4,3.25,1,5255,"Elevation is final, no future adjustments necessary. Used AH1675 as base.",Coastal,9/2/2017 5:00:00 AM,1,2,1763,1744,0.24,,0902_1600_3,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
27.60275,-97.24781,27.60275,-97.24781,Harvey Aug 2017,Debris,Good: +/- 0.10 ft,NAVD88,RT-GNSS,Glenn Harwell,Stake,Handheld GPS,NAD83,Kurt Kraske,Dan Kobzar,TXNUE20582,MaryAnne's Way Memorial Park on Whitecap Blvd,,,TX,Nueces County,,No,27.60275,-97.24781,20762,Gulf of Mexico,20582,180,2,2,Orange-painted wooden stake driven into ground along shoreline of bay waterline at Mary Anne's Way Memorial Park.,9/3/2017 5:00:00 AM,5.933,2,6,N/A,7781,7,0,1,5248,Elevation is final. No further adjustments necessary.,Coastal,8/2/2017 5:00:00 AM,1,2,1763,1744,0.24,,0902_1700_1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
27.60283,-97.24815,27.60283,-97.24815,Harvey Aug 2017,Debris,Good: +/- 0.10 ft,NAVD88,RT-GNSS,Glenn Harwell,Stake,Handheld GPS,NAD83,Kurt Kraske,Dan Kobzar,TXNUE20582,MaryAnne's Way Memorial Park on Whitecap Blvd,,,TX,Nueces County,,No,27.60275,-97.24781,20763,Gulf of Mexico,20582,180,2,2,Orange-painted wooden stake driven into ground along shoreline of bay waterline at Mary Anne's Way Memorial Park.,9/3/2017 5:00:00 AM,5.435,2,6,N/A,7783,7,0,1,5248,Elevation is final. No further adjustments necessary.,Coastal,9/2/2017 5:00:00 AM,1,2,1763,1744,0.24,,0902_1700_2,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
27.60297,-97.24846,27.60297,-97.24846,Harvey Aug 2017,Debris,Good: +/- 0.10 ft,NAVD88,RT-GNSS,Glenn Harwell,Stake,Handheld GPS,NAD83,Kurt Kraske,Dan Kobzar,TXNUE20582,MaryAnne's Way Memorial Park on Whitecap Blvd,,,TX,Nueces County,,No,27.60275,-97.24781,20764,Gulf of Mexico,20582,180,2,2,Orange-painted wooden stake driven into ground along shoreline of bay waterline at Mary Anne's Way Memorial Park.,9/3/2017 5:00:00 AM,5.355,2,6,N/A,7780,7,0,1,5248,Elevation is final. No further adjustments necessary.,Coastal,9/2/2017 5:00:00 AM,1,2,1763,1744,0.24,,0902_1700_3,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
28.22318,-96.98648,28.22318,-96.98648,Harvey Aug 2017,Debris,Poor: +/- 0.40 ft,NAVD88,RT-GNSS,Glenn Harwell,Paint,Handheld GPS,NAD83,Kurt Kraske,Don Hampton,TXARA20583,"Cavasso creek, north end of TX 35 bridge",,,TX,Aransas County,,No,28.22318,-96.98648,20765,Cavasso Creek,20583,180,2,4,Fence post near north end of bridge (upstream side).,9/6/2017 5:00:00 AM,7.307,2,6,Left,7813,3,0,1,5256,"DEBRIS LINE, ELEVATIONS FINAL",Riverine,9/3/2017 5:00:00 AM,1,2,1763,871,0.22,,0903_0900_1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
28.22309,-96.98724,28.22309,-96.98724,Harvey Aug 2017,Debris,Poor: +/- 0.40 ft,NAVD88,RT-GNSS,Glenn Harwell,Paint,Handheld GPS,NAD83,Kurt Kraske,Don Hampton,TXARA20583,"Cavasso creek, north end of TX 35 bridge",,,TX,Aransas County,,No,28.22318,-96.98648,20766,Cavasso Creek,20583,180,2,4,North end of bridge (downstream side).,9/5/2017 5:00:00 AM,7.378,2,6,Left,7814,3,0,1,5256,"DEBRIS LINE, ELEVATIONS FINAL",Riverine,9/3/2017 5:00:00 AM,1,2,1763,871,0.22,,0903_0900_2,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
28.13801,-97.00061,28.13801,-97.00061,Harvey Aug 2017,Debris,Good: +/- 0.10 ft,NAVD88,RT-GNSS,Glenn Harwell,Stake,Handheld GPS,NAD83,Kurt Kraske,Dan Kobzar,TXARA20584,"South of Main Street about 0.24 miles west of Cedar Street near Lamar, TX",,,TX,Aransas County,,No,28.13801,-97.00061,20768,Gulf of Mexico,20584,180,2,2,Back yard,9/5/2017 5:00:00 AM,9.993,2,6,N/A,7943,7,0,1,5316,Elevation is final. No further adjustments necessary.,Coastal,9/3/2017 5:00:00 AM,1,2,1763,1744,0.07,,0903_1000_1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
28.13801,-97.00076,28.13801,-97.00076,Harvey Aug 2017,Debris,Good: +/- 0.10 ft,NAVD88,RT-GNSS,Glenn Harwell,Stake,Handheld GPS,NAD83,Kurt Kraske,Dan Kobzar,TXARA20584,"South of Main Street about 0.24 miles west of Cedar Street near Lamar, TX",,,TX,Aransas County,,No,28.13801,-97.00061,20769,Gulf of Mexico,20584,180,2,2,Back yard,9/5/2017 5:00:00 AM,10.47,2,6,N/A,7944,7,0,1,5316,Elevation is final. No further adjustments necessary.,Coastal,9/3/2017 5:00:00 AM,1,2,1763,1744,0.07,,0903_1000_2,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
28.13801,-97.00083,28.13801,-97.00083,Harvey Aug 2017,Debris,Good: +/- 0.10 ft,NAVD88,RT-GNSS,Glenn Harwell,Stake,Handheld GPS,NAD83,Kurt Kraske,Dan Kobzar,TXARA20584,"South of Main Street about 0.24 miles west of Cedar Street near Lamar, TX",,,TX,Aransas County,,No,28.13801,-97.00061,20770,Gulf of Mexico,20584,180,2,2,Back yard,9/5/2017 5:00:00 AM,10.57,2,6,N/A,7946,7,0,1,5316,Elevation is final. No further adjustments necessary.,Coastal,9/3/2017 5:00:00 AM,1,2,1763,1744,0.07,,0903_1000_3,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
28.13641,-97.00903,28.13641,-97.00903,Harvey Aug 2017,Debris,Good: +/- 0.10 ft,NAVD88,RT-GNSS,Glenn Harwell,Stake,Handheld GPS,NAD83,Kurt Kraske,Dan Kobzar,TXARA20585,"Along west side of TX 35 bay bridge near near Copano Bay Fishing Pier near Lamar, TX",,,TX,Aransas County,,No,28.13641,-97.00903,20771,Gulf of Mexico,20585,180,2,2,"Along west side of bay bridge (Hwy 35, Lamar, TX).",9/5/2017 5:00:00 AM,7.466,2,6,N/A,7950,7,0,1,5317,Elevation is final. No further adjustments necessary.,Coastal,9/3/2017 5:00:00 AM,1,2,1763,1744,0.07,,0903_1100_1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
28.13599,-97.00932,28.13599,-97.00932,Harvey Aug 2017,Debris,Good: +/- 0.10 ft,NAVD88,RT-GNSS,Glenn Harwell,Stake,Handheld GPS,NAD83,Kurt Kraske,Dan Kobzar,TXARA20585,"Along west side of TX 35 bay bridge near near Copano Bay Fishing Pier near Lamar, TX",,,TX,Aransas County,,No,28.13641,-97.00903,20772,Gulf of Mexico,20585,180,2,2,"Along west side of bay bridge (Hwy 35, Lamar, TX).",9/5/2017 5:00:00 AM,7.775,2,6,N/A,7953,7,0,1,5317,Elevation is final. No further adjustments necessary.,Coastal,9/3/2017 5:00:00 AM,1,2,1763,1744,0.07,,0903_1100_2,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
28.13556,-97.00961,28.13556,-97.00961,Harvey Aug 2017,Debris,Good: +/- 0.10 ft,NAVD88,RT-GNSS,Glenn Harwell,Stake,Handheld GPS,NAD83,Kurt Kraske,Dan Kobzar,TXARA20585,"Along west side of TX 35 bay bridge near near Copano Bay Fishing Pier near Lamar, TX",,,TX,Aransas County,,No,28.13641,-97.00903,20773,Gulf of Mexico,20585,180,2,2,"Along west side of bay bridge (Hwy 35, Lamar, TX).",9/5/2017 5:00:00 AM,8.352,2,6,N/A,7951,7,0,1,5317,Elevation is final. No further adjustments necessary.,Coastal,9/3/2017 5:00:00 AM,1,2,1763,1744,0.07,,0903_1100_3,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
27.8914444,-97.237333,27.8914444,-97.237333,Harvey Aug 2017,Debris,Good: +/- 0.10 ft,NAVD88,RT-GNSS,Jeremy McDowell,,Handheld GPS,NAD83,Kristine Blickenstaff,Don Hampton,TXSAN20586,"POWER PLANT, COUNTY RD 4321",,,TX,San Patricio County,,No,27.8914444,-97.237333,20774,NA,20586,180,2,2,,9/4/2017 5:00:00 AM,19.492,2,6,N/A,7468,,,1,5109,"First HWM listed on field sheet, elevation is final",Coastal,9/3/2017 5:00:00 AM,1,2,1760,871,0.114829,,0902_1700_1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
27.8914444,-97.237333,27.8914444,-97.237333,Harvey Aug 2017,Debris,Good: +/- 0.10 ft,NAVD88,RT-GNSS,Jeremy McDowell,Tape,Handheld GPS,NAD83,Kristine Blickenstaff,Don Hampton,TXSAN20586,"POWER PLANT, COUNTY RD 4321",,,TX,San Patricio County,,No,27.8914444,-97.237333,20775,NA,20586,180,2,2,,9/4/2017 5:00:00 AM,20.035,2,6,N/A,7469,2,,1,5109,HWM shot directly. elevation is final,Coastal,9/2/2017 5:00:00 AM,1,2,1760,871,0.114829,,0902_1700_3,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
27.8848333,-97.1541944,27.8848333,-97.1541944,Harvey Aug 2017,Debris,Good: +/- 0.10 ft,NAVD88,RT-GNSS,Jeremy McDowell,,Handheld GPS,NAD83,Kristine Blickenstaff,Don Hampton,TXSAN20588,LOCATED AT ARANSAS PASS PARK OFF JOHNSON AVE. MAY NEED TO CHECK IN AT AREA AS IT NEAR SOLID WASTE COLLECTION AREA,,,TX,San Patricio County,,No,27.8848333,-97.1541944,20776,NA,20588,180,2,2,"DEBRIS LINE ON SOUTH SIDE OF ROAD, LARGE AREA OF DEBRIS MOSTLY FINES. FIRST OFF ROAD ABOUT 6FT FROM PALM TREE. FLAGS AND PAINT.",9/4/2017 5:00:00 AM,3.573,2,6,N/A,7471,,,1,5110,First HWM listed on field form. elevation is final,Coastal,9/2/2017 5:00:00 AM,1,2,1760,871,0.114829,,0902_1645_1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
27.83755,-97.21978,27.83755,-97.21978,Harvey Aug 2017,Debris,Good: +/- 0.10 ft,NAVD88,RT-GNSS,Jeremy McDowell,Stake,Handheld GPS,NAD83,Kristine Blickenstaff,Don Hampton,TXSAN20589,COVE PARK BOAT RAMP,,,TX,San Patricio County,,No,27.83755,-97.21978,20777,NA,20589,180,2,2,,9/4/2017 5:00:00 AM,4.591,2,6,N/A,7473,7,,1,5111,"FIrst HWM on field form, elevation is final",Riverine,9/2/2017 5:00:00 AM,1,2,1760,871,0.114829,,0902_1630_1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
27.9123611,-97.132305,27.9123611,-97.132305,Harvey Aug 2017,Debris,Good: +/- 0.10 ft,NAVD88,RT-GNSS,Jeremy McDowell,,Handheld GPS,NAD83,Kristine Blickenstaff,Don Hampton,TXARA20591,"RED FISH BAY MARINA, 150FT OFF ROADWAY.",,,TX,Aransas County,,No,27.9123611,-97.132305,20779,NA,20591,180,2,2,"DEBRIS ON EAST SIDE OF MARINA
NEAR BROKEN SEAWALL.",9/4/2017 5:00:00 AM,4.344,2,6,N/A,7475,,0,1,5112,elevation is final,Coastal,9/2/2017 5:00:00 AM,1,2,1760,871,0.114829,,0902_1600_10,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
27.9452778,-97.1133611,27.9452778,-97.1133611,Harvey Aug 2017,Debris,Good: +/- 0.10 ft,NAVD88,RT-GNSS,Kristine Blickenstaff,Tape,Handheld GPS,NAD83,Kristine Blickenstaff,Dan Kobzar,TXARA20592,"MARSHALS LANDING RV PARK, ALONG DISCONTINUED RAILROAD. ON OCEAN SIDE OF ROAD, FLAGGING TIED TO SIGN POST FOR PULLING OFF ROAD. MARSHALS LANDING RV PARK, ALONG DISCONTINUED RAILROAD. ON OCEAN SIDE OF ROAD, FLAGGING TIED TO SIGN POST FOR PULLING OFF ROAD.",,,TX,Aransas County,,No,27.9452778,-97.1133611,20780,NA,20592,180,2,2,"DEBRIS LINE PUSHED UP AGAINST RAILROAD, TWO AREAS MARKED ABOUT 80FT FROM EACH OTHER, MARKED WITH FLAGS AND PAINT.",9/4/2017 4:00:00 AM,4.376,2,6,N/A,10040,2,,1,6661,Elevation is final. No further adjustments necessary.,Coastal,9/2/2017 4:00:00 AM,1,2,1760,1744,0.206693,,0902_1530_6,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
28.078222,-97.0956388,28.078222,-97.0956388,Harvey Aug 2017,Debris,Good: +/- 0.10 ft,NAVD88,RT-GNSS,Jeremy McDowell,Marker,Handheld GPS,NAD83,Kristine Blickenstaff,Don Hampton,TXARA20597,226 COMPONO RIDGE RD,,,TX,Aransas County,,No,28.078222,-97.0956388,20787,NA,20597,180,2,2,"MARKER ON REAR DECK SUPPORT, SIMILAR TO TWO MARKS FOUND INSIDE OF HOUSE AT 2.3FT AND 2.4FT.",9/5/2017 5:00:00 AM,5.525,2,6,N/A,7125,4,2.1,1,4990,USGS marker on 6x6 post supporting balcony,Riverine,9/2/2017 5:00:00 AM,1,2,1760,871,0.042651,,0902_1230_19,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
28.1113889,-97.026694,28.1113889,-97.026694,Harvey Aug 2017,Debris,Good: +/- 0.10 ft,NAVD88,RT-GNSS,Jeremy McDowell,Tape,Handheld GPS,NAD83,Kristine Blickenstaff,Don Hampton,TXARA20603,PUBLIC BOAT RAMP ALONG FM 35 OFF ALONG PARKING LOT AND UNDER BRIDGE ON BOTH SIDES.,,,TX,Aransas County,,No,28.1113889,-97.026694,20797,NA,20603,180,2,2,DEBRIS LINE DIRECTLY UNDER SOUTH END OF BRIDGE.,9/5/2017 5:00:00 AM,5.384,2,6,N/A,7153,2,0,1,4991,elevations final,Coastal,9/2/2017 5:00:00 AM,1,2,1760,871,0.042651,,0902_0900_2,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
28.1113889,-97.026694,28.1113889,-97.026694,Harvey Aug 2017,Debris,Good: +/- 0.10 ft,NAVD88,RT-GNSS,Jeremy McDowell,Tape,Handheld GPS,NAD83,Kristine Blickenstaff,Don Hampton,TXARA20603,PUBLIC BOAT RAMP ALONG FM 35 OFF ALONG PARKING LOT AND UNDER BRIDGE ON BOTH SIDES.,,,TX,Aransas County,,No,28.1113889,-97.026694,20798,NA,20603,180,2,2,DEBRIS LINE NEAR PARKING LOT OF BOAT RAMP ON WEST SIDE OF ROAD AND WEST SIDE OF BRIDGE,9/5/2017 5:00:00 AM,5.361,2,6,N/A,7154,2,0,1,4991,elevation is final,Coastal,9/2/2017 5:00:00 AM,1,2,1760,871,0.042651,,0902_0900_1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
28.1011944,-97.04683,28.1011944,-97.04683,Harvey Aug 2017,Debris,Good: +/- 0.10 ft,NAVD88,RT-GNSS,Jeremy McDowell,Tape,Handheld GPS,NAD83,Kristine Blickenstaff,Don Hampton,TXARA20604,5001 FM 1781,,,TX,Aransas County,,No,28.1011944,-97.04683,20799,NA,20604,180,2,2,TAPE ALONG FENCE LINE IN DOG RUN 3RD POST FROM SHORE.,9/5/2017 5:00:00 AM,6.295,2,6,N/A,7165,2,2.45,1,4992,elevation is final,Riverine,9/2/2017 5:00:00 AM,1,2,1760,871,0.042651,,0902_0900_1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
